count	number	factors
18	\seqsplit{273447555319424943187398893784654666306360710336455357136751751809036563020145951}	1, 29389, 29473, 29387, 29501, 29327, 29611, 29327, 29537, 29339, 29537, 29251, 29423, 29423, 29473, 29251, 29527, 29303, 29573
18	\seqsplit{273777364729800462429940443288730515555346668606062214085557317040304257088157639}	1, 29423, 29429, 29287, 29611, 29311, 29531, 29347, 29581, 29303, 29429, 29333, 29531, 29287, 29501, 29327, 29587, 29303, 29567
19	\seqsplit{8092813032034752870137381401915653543865243380513951917556601612686501897877155480529}	1, 29383, 29611, 29389, 29581, 29287, 29531, 29401, 29501, 29297, 29453, 29327, 29611, 29411, 29453, 29383, 29453, 29387, 29537, 29251
19	\seqsplit{8101465846655008560733288209269117691483784364549949754676618472732876797621084547241}	1, 29399, 29573, 29339, 29567, 29251, 29423, 29347, 29443, 29389, 29573, 29333, 29567, 29347, 29573, 29327, 29501, 29401, 29629, 29297
20	\seqsplit{234378162774272083465819585268149691307105050863628353375341774554968068447199162285443833}	1, 29287, 29483, 29251, 29453, 29389, 29483, 29339, 29501, 29333, 29537, 29269, 29437, 29339, 29501, 29297, 29453, 29401, 29537, 29383, 29531
20	\seqsplit{234135764547596304524147681265747540452786682840147054666671262723031988066482413301913669}	1, 29339, 29531, 29297, 29567, 29231, 29567, 29297, 29423, 29339, 29443, 29231, 29587, 29311, 29567, 29311, 29599, 29399, 29453, 29231, 29453
2	\seqsplit{1621270081}	1, 40253, 40277
2	\seqsplit{1621270081}	1, 40253, 40277
3	\seqsplit{65260984570493}	1, 40253, 40277, 40253
3	\seqsplit{65241529329521}	1, 40253, 40277, 40241
4	\seqsplit{2628907540960158751}	1, 40253, 40283, 40241, 40289
4	\seqsplit{2628515975157071569}	1, 40241, 40289, 40253, 40277
5	\seqsplit{105663786523994505249787}	1, 40237, 40283, 40231, 40277, 40231
5	\seqsplit{105747846551901297102991}	1, 40253, 40277, 40241, 40283, 40237
6	\seqsplit{4276777994168845795685084369}	1, 40213, 40357, 40253, 40357, 40277, 40277
6	\seqsplit{4261730664682637298515573083}	1, 40237, 40277, 40231, 40277, 40213, 40357
7	\seqsplit{171675339450528779010130577717441}	1, 40231, 40351, 40237, 40289, 40277, 40277, 40213
7	\seqsplit{171725964673339015282431048008621}	1, 40237, 40343, 40213, 40361, 40231, 40289, 40213
8	\seqsplit{6940328532425640161878617107022831931}	1, 40241, 40387, 40277, 40351, 40213, 40277, 40213, 40343
8	\seqsplit{6937928030201461327568435740563312701}	1, 40213, 40357, 40241, 40361, 40253, 40343, 40231, 40289
9	\seqsplit{278783934216210794061753445528460285077843}	1, 40237, 40283, 40177, 40423, 40237, 40289, 40213, 40423, 40189
9	\seqsplit{280201693317557732699734499983537650751331}	1, 40277, 40361, 40277, 40423, 40213, 40361, 40237, 40289, 40237
10	\seqsplit{11266035858555712572848498785608957810155199769}	1, 40277, 40361, 40241, 40277, 40169, 40427, 40231, 40343, 40213, 40343
10	\seqsplit{11248748165423422014156975262092465859284398131}	1, 40277, 40361, 40193, 40289, 40189, 40343, 40213, 40361, 40237, 40357
11	\seqsplit{452365647933365700184455164174376023053860917287901}	1, 40177, 40387, 40277, 40283, 40189, 40357, 40231, 40343, 40163, 40387, 40241
11	\seqsplit{449701911482155772128565847368365973030290463048771}	1, 40189, 40351, 40253, 40289, 40189, 40283, 40193, 40343, 40193, 40351, 40163
12	\seqsplit{18313458677768241029361126067868713086248286672636815087}	1, 40237, 40429, 40277, 40357, 40241, 40351, 40253, 40283, 40231, 40289, 40213, 40357
12	\seqsplit{18250572437229924758295006051459000197191942489816056329}	1, 40213, 40361, 40231, 40283, 40231, 40361, 40177, 40277, 40153, 40433, 40237, 40423
13	\seqsplit{738365424372328155516200875596859028033712185143813239636697}	1, 40241, 40427, 40189, 40343, 40253, 40427, 40237, 40357, 40189, 40433, 40213, 40351, 40177
13	\seqsplit{735286352707701561586078679475095075815643479401450265856257}	1, 40153, 40459, 40241, 40459, 40193, 40289, 40237, 40289, 40153, 40387, 40169, 40387, 40253
14	\seqsplit{29373297580035069399879971437182275084191326425505542159180637071}	1, 40213, 40289, 40129, 40283, 40129, 40387, 40241, 40361, 40153, 40429, 40129, 40277, 40169, 40427
14	\seqsplit{29909068422978136679310036940712188458368142913407434306408958727}	1, 40177, 40433, 40189, 40429, 40193, 40423, 40277, 40429, 40241, 40343, 40237, 40427, 40189, 40357
15	\seqsplit{1190308734806001452624428419210166831878447638583765709998701699322677}	1, 40163, 40471, 40153, 40429, 40241, 40283, 40277, 40289, 40151, 40459, 40241, 40343, 40127, 40343, 40169
15	\seqsplit{1191197716982639111892135143689621152800042059925150289986504827047163}	1, 40189, 40289, 40129, 40283, 40241, 40289, 40213, 40427, 40151, 40483, 40277, 40459, 40129, 40357, 40253
16	\seqsplit{48142145059544319190375895840285035420345008460652389028989842839589161101}	1, 40151, 40283, 40213, 40423, 40277, 40423, 40241, 40459, 40169, 40433, 40151, 40343, 40163, 40427, 40151, 40277
16	\seqsplit{48304323928051683956152914371144110851492525150491340507493386931312814789}	1, 40241, 40433, 40123, 40459, 40153, 40283, 40241, 40429, 40151, 40483, 40169, 40357, 40193, 40429, 40189, 40387
17	\seqsplit{1947163081288901745447679864902656801561849466655905426788125701187223499442883}	1, 40253, 40483, 40127, 40387, 40111, 40277, 40213, 40493, 40129, 40433, 40253, 40459, 40277, 40487, 40231, 40289, 40129
17	\seqsplit{1950193563503571247994675503760211420163920048052169513812618570297657545722893}	1, 40231, 40427, 40111, 40427, 40127, 40487, 40231, 40459, 40237, 40351, 40129, 40427, 40231, 40277, 40277, 40423, 40241
18	\seqsplit{78936951915049847226243400827108784756556544200163394380642260866249453916058775541}	1, 40253, 40471, 40099, 40343, 40129, 40433, 40231, 40471, 40237, 40361, 40213, 40471, 40213, 40471, 40237, 40351, 40099, 40487
18	\seqsplit{78951094094132040233040058707045915482428704964122655414198932241792706059352696417}	1, 40123, 40429, 40127, 40423, 40153, 40483, 40151, 40427, 40193, 40487, 40189, 40357, 40123, 40471, 40231, 40499, 40253, 40459
19	\seqsplit{3128927636109278291345269400034681971656783052672880042429271967052894323478553387411493}	1, 40123, 40471, 40253, 40277, 40111, 40289, 40177, 40387, 40093, 40283, 40177, 40429, 40193, 40387, 40231, 40471, 40099, 40499, 40253
19	\seqsplit{3146520128824371716207725209907584052952049742107680993674409723280717068075495166986423}	1, 40213, 40289, 40189, 40483, 40127, 40277, 40163, 40429, 40163, 40487, 40193, 40433, 40129, 40289, 40277, 40483, 40093, 40459, 40253
20	\seqsplit{128852600609349526097437512679089470899860629063921966904451544951666329006154974515208595849}	1, 40099, 40471, 40241, 40357, 40237, 40361, 40277, 40423, 40087, 40519, 40241, 40429, 40087, 40499, 40169, 40499, 40189, 40507, 40213, 40471
20	\seqsplit{126062316213731487422916572994986948260691672311530813690188127109530700932036759345668642767}	1, 40189, 40433, 40277, 40343, 40153, 40387, 40169, 40357, 40093, 40499, 40127, 40387, 40087, 40499, 40087, 40493, 40111, 40283, 40087, 40433
